Epoch, Training Loss, Training Accuracy, Validation Loss, Validation Accuracy
1, 0.2754, 0.8748, 0.2664, 0.8801
2, 0.2638, 0.8813, 0.2616, 0.8825
3, 0.2609, 0.8828, 0.2604, 0.8835
4, 0.2592, 0.8839, 0.2591, 0.8841
5, 0.2580, 0.8846, 0.2593, 0.8840
6, 0.2571, 0.8851, 0.2588, 0.8843
7, 0.2563, 0.8855, 0.2581, 0.8847
8, 0.2557, 0.8858, 0.2587, 0.8846
9, 0.2550, 0.8862, 0.2566, 0.8852
10, 0.2543, 0.8866, 0.2563, 0.8853
11, 0.2537, 0.8869, 0.2565, 0.8855
12, 0.2532, 0.8873, 0.2568, 0.8855
13, 0.2527, 0.8875, 0.2562, 0.8857
14, 0.2521, 0.8878, 0.2560, 0.8857
15, 0.2517, 0.8880, 0.2550, 0.8863
16, 0.2512, 0.8882, 0.2552, 0.8862
17, 0.2508, 0.8885, 0.2560, 0.8862
18, 0.2504, 0.8887, 0.2554, 0.8860
19, 0.2501, 0.8890, 0.2560, 0.8858
20, 0.2499, 0.8890, 0.2561, 0.8858